"name","rfid","equipment_type","asset_cost","rental_cost","location","purchased","notes"
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-3685-AS#-3685-QUEENS WHSE","8230 0000 0000 0000 0006 7860","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-52943-AS#-7401-Medford Warehouse","8230 0000 0000 0000 0006 7401","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-7331-AS#-7331-QUEENS WHSE","8230 0000 0000 0000 0006 7864","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-7345-AS#-7345-JERSEY WHSE","8230 0000 0000 0000 0006 7691","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-7385-AS#-7385-JERSEY WHSE","8230 0000 0000 0000 0006 7724","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-8970-AS#-8970-QUEENS WHSE","8230 0000 0000 0000 0006 7895","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-8977-AS#-8977-QUEENS WHSE","8230 0000 0000 0000 0006 7865","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-9050-AS#-9050-QUEENS WHSE","8230 0000 0000 0000 0006 7884","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-9110-AS#-9110-Medford Warehouse","8230 0000 0000 0000 0006 6592","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-9111-AS#-9111-QUEENS WHSE","8230 0000 0000 0000 0006 7893","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-9118-AS#-9118-JERSEY TRAILER","8230 0000 0000 0000 0006 7423","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-9127-AS#-9127-JERSEY WHSE","8230 0000 0000 0000 0006 7723","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-9147-AS#-9147-QUEENS WHSE","8230 0000 0000 0000 0006 7882","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-9204-AS#-9204-JERSEY TRAILER","8230 0000 0000 0000 0006 7424","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-9213-AS#-9213-QUEENS WHSE","8230 0000 0000 0000 0006 7894","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-9246-AS#-9246-JERSEY WHSE","8230 0000 0000 0000 0006 7727","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-9248-AS#-9248-QUEENS WHSE","8230 0000 0000 0000 0006 7862","Air Scrubber","$819.00","$0","","",""
